annee_scolaire;diplome;libelle_diplome;code_niveau;type_diplome;code_groupe_specialite;libelle_specialite;libelle_specialite_com;id_og;libelle_og;id_etab;nom_complet_cfa;numero_section;duree_formation_mois;annee_formation;id_siteformation;code_uai_site;libelle_lien_cfa;nom_site_formation;adresse1_site;adresse2_site;adresse3_site;code_commune_site_insee;code_postal_site;libelle_ville_site;num_section;age_jeune_decembre;handicap_oui_non_vide;code_sexe;sexe;code_qualite;libelle_qualite;code_nationalite;libelle_nationalite;code_pcs;libelle_pcs_parent;code_statut_jeune;libelle_statut_jeune;code_origine_prec_cfa;libelle_origine_prec_cfa;code_origine_annee_prec;libelle_origine_annee_prec;code_depart_jeune_insee;code_commune_jeune_insee;code_postal_jeune;libelle_ville_jeune;code_naf_entreprise;depart_entreprise;code_insee_entreprise;code_uai_etab_annee_prec
11/12;40031202;Commerce (BAC PRO);4;BAC PRO;312;Commerce, vente;Commerce, vente;93;Association de Formation de la Grande Distribution;131;CFA Commerce Distribution  Services - CODIS;26;36;2;2042;0754471C;Local du CFA;CFA CODIS;3 rue Pierre Dupont;;;75110;75010;PARIS;26;19;N;F;Féminin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;75;2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);77;3EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);93;93047;93370;MONTFERMEIL;7010Z;92;92024;75
11/12;50022131;Cuisine (CAP);5;CAP;221;Agro-alimentaire, alimentation, cuisine;Agro-alimentaire, alimentation, cuisine;98;Centre Européen de Formation par Alternance et d'Apprentissage de l'industrie hôtelière et du tourisme;137;CFA CEFAA;8;24;1;274;0932217E;Local du CFA;CFA CEFAA;Avenue Jean Fourgeaud;;;93078;93420;VILLEPINTE;8;20;;F;Féminin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;109;CONTRAT DE PROFESSIONNALISATION;109;CONTRAT DE PROFESSIONNALISATION;95;95598;95230;SOISY-SOUS-MONTMORENCY;5610A;92;92046;95
11/12;50022131;Cuisine (CAP);5;CAP;221;Agro-alimentaire, alimentation, cuisine;Agro-alimentaire, alimentation, cuisine;98;Centre Européen de Formation par Alternance et d'Apprentissage de l'industrie hôtelière et du tourisme;137;CFA CEFAA;8;24;1;274;0932217E;Local du CFA;CFA CEFAA;Avenue Jean Fourgeaud;;;93078;93420;VILLEPINTE;8;19;;M;Masculin;D;Demi-pensionnaire;1;France;54;Employé administratif d'entreprise;A;Contrat d'apprentissage;109;CONTRAT DE PROFESSIONNALISATION;73;1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);93;93072;93240;STAINS;5610A;75;75104;93
11/12;;Pâtissier (BTM);4;TH4-M;221;Agro-alimentaire, alimentation, cuisine;Agro-alimentaire, alimentation, cuisine;37;Association Ecole de Boulangerie et de Patisserie de Paris;39;CFA de la boulangerie et de la pâtisserie;22;24;2;74;0754755L;Local du CFA;CFA Boulangerie et Pâtisserie;64 rue des Pirogues de Bercy;;;75112;75012;PARIS;22;22;;M;Masculin;E;Externe;1;France;54;Employé administratif d'entreprise;A;Contrat d'apprentissage;27;3EME TECHNOLOGIQUE (en collège);89;1ERE ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);78;78327;78820;JUZIERS;1071B;75;75103;75
11/12;50025523;Préparation et réalisation d'ouvrages électriques (CAP);5;CAP;255;Electricité, électronique (non compris automatismes, productique);Électricité, électronique;100;Association de Gestion des Centres de Formation d'Apprentis Saint-Jean;139;CFA Saint-Jean;14;24;2;278;0952109B;Annexe du CFA;CFA Saint-Jean - Site de Saint Prix;23 Route de Montmorency;;;95574;95390;SAINT-PRIX;14;16;N;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;23;3EME GENERALE (en collège);75;2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);95;95488;95480;PIERRELAYE;4321A;95;95488;95
11/12;;Vendeur de l'électrodomestique et du multimédia (FODIPEG);4;TH4-X;255;Electricité, électronique (non compris automatismes, productique);Électricité, électronique;59;Association pour la Formation dans la Distribution et l'Industrie des Produits de l'Electronique Grand Public;82;CFA Eugène-Ducretet;8;12;1;132;0922274X;Local du CFA;CFA Eugène Ducretet;84 rue Villeneuve - Immeuble Le Capella;;;92024;92587;CLICHY;8;22;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;113;CHOMAGE;113;CHOMAGE;95;95607;95150;TAVERNY;4742Z;95;95210;92
11/12;36033102;Infirmière (diplôme d'ETAT);3;DIV-3;331;Santé;Santé, sanitaire et social;120;Association pour la Formation par l'Apprentissage des Personnels de l'Hôspitalisation Privée d'Ile de France;159;CFA des métiers de la santé et de la solidarité;83;24;2;1134;0771988T;UFA (L6232-8);Institut de Formation Soins Infirmiers - IFSI du Centre Hospitalier de Fontainebleau;55 boulevard Joffre;;;77186;77300;FONTAINEBLEAU;83;26;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;103;APPRENTISSAGE BAC+2 (AUTRE QUE BTS OU DUT) (STATUT APPRENTISSAGE);77;77152;77190;DAMMARIE-LES-LYS;8610Z;91;91345;0754678C
11/12;32031210;Négociation et relation client (BTS);3;BTS;312;Commerce, vente;Commerce, vente;53;Institut de Gestion Sociale;61;CFA Institut de Gestion Sociale;42;24;1;103;0754738T;Annexe du CFA;CFA Bureautique Appliquée;7 rue Pierre Dupont;;;75110;75010;PARIS;42;22;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;109;CONTRAT DE PROFESSIONNALISATION;109;CONTRAT DE PROFESSIONNALISATION;91;91687;91170;VIRY-CHATILLON;6110Z;75;75117;75
11/12;50023317;Installateur sanitaire (CAP);5;CAP;233;Bâtiment : finitions;Bâtiment : finition;15;Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne;16;CFA du bâtiment et des travaux publics de Seine-et-Marne - Ocquerre;41;24;1;42;0772319C;Local du CFA;CFA du BTP d' Ocquerre;Zac de Grand-Champ;8 rue de Bel-Air;;77343;77440;OCQUERRE;41;16;;M;Masculin;D;Demi-pensionnaire;1;France;52;Employé civil - agent service fonction publique;A;Contrat d'apprentissage;23;3EME GENERALE (en collège);23;3EME GENERALE (en collège);77;77294;77290;MITRY-MORY;4322A;77;77420;0771995A
11/12;45023211;Couvreur (BP);4;BP;232;Bâtiment : construction et couverture;Bâtiment : construction et couverture;15;Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne;16;CFA du bâtiment et des travaux publics de Seine-et-Marne - Ocquerre;5;24;2;42;0772319C;Local du CFA;CFA du BTP d' Ocquerre;Zac de Grand-Champ;8 rue de Bel-Air;;77343;77440;OCQUERRE;5;27;;M;Masculin;D;Demi-pensionnaire;1;France;61;Ouvrier qualifié;A;Contrat d'apprentissage;75;2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);85;1ERE ANNEE BP OU BM (STATUT APPRENTISSAGE);93;93000;93200;SEINE ST DENIS;4321A;93;93055;0940126B
11/12;;Responsable en gestion (IGS-ESAM);2;TH2-X;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;53;Institut de Gestion Sociale;61;CFA Institut de Gestion Sociale;49;24;1;102;0752944T;Local du CFA;CFA Bureautique Appliquée;12 rue Alexandre Parodi;;;75110;75010;PARIS;49;23;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;117;AUTRE;117;AUTRE;93;93049;93360;NEUILLY-PLAISANCE;6832A;94;94065;75
11/12;;Technicien supérieur en maintenance informatique et réseaux (TITRE PRO Niv 3 IPI);3;TH3-N;326;Informatique, traitement de l'information, réseaux de transmission des données;Informatique, réseaux;53;Institut de Gestion Sociale;61;CFA Institut de Gestion Sociale;68;24;2;102;0752944T;Local du CFA;CFA Bureautique Appliquée;12 rue Alexandre Parodi;;;75110;75010;PARIS;68;23;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;53;TERMINALE TECHNOLOGIQUE (en lycée);53;TERMINALE TECHNOLOGIQUE (en lycée);95;95388;95180;MENUCOURT;6202A;92;92050;75
11/12;26031202;Praticien du commerce international (ESPCI - ESSEC) (diplôme);2;DIV-2;312;Commerce, vente;Commerce, vente;67;Association pour la Formation par l'Apprentissage CCIV - ESSEC;99;CFA ESSEC;4;24;1;175;0951929F;Convention L6231-3;ESSEC;Avenue Bernard Hirsch;;;95500;95000;PONTOISE;4;22;;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;67;1ER CYCLE UNIVERSITAIRE (DEUG...);67;1ER CYCLE UNIVERSITAIRE (DEUG...);75;75111;75011;PARIS;6110Z;94;94003;95
11/12;46421203;Auxiliaire spécialisé vétérinaire (TH);4;TH4-AG;212;Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire);Agriculture, espaces verts, élevage et soins des animaux;177;Animal Pro Formation;329;CFA santé animale;7;24;1;2524;092XXX01;UFA (L6232-8);INFREP;96 avenue du Général Leclerc;;;92012;92100;BOULOGNE-BILLANCOURT;7;20;;F;Féminin;I;Interne;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;51;TERMINALE GENERALE (en lycée);51;TERMINALE GENERALE (en lycée);77;77373;77340;PONTAULT-COMBAULT;7500Z;94;94017;77
11/12;32031406;Comptabilité et gestion des organisations (BTS);3;BTS;314;Comptabilité, gestion;Comptabilité, gestion;83;Association des Comptables - Métiers et Professions;118;CFA de la comptabilité - ACMP;8;24;2;213;0922673F;Local du CFA;CFA de la Comptabilité;70 rue Marius Aufan;;;92044;92300;LEVALLOIS PERRET;8;24;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;111;EMPLOI (Y COMPRIS CES);111;EMPLOI (Y COMPRIS CES);78;78350;78430;LOUVECIENNES;6920Z;92;92040;75
11/12;32031405;Assistant de gestion de PME-PMI (BTS);3;BTS;314;Comptabilité, gestion;Comptabilité, gestion;53;Institut de Gestion Sociale;61;CFA Institut de Gestion Sociale;15;24;1;103;0754738T;Annexe du CFA;CFA Bureautique Appliquée;7 rue Pierre Dupont;;;75110;75010;PARIS;15;21;N;F;Féminin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);94;94901;94210;LA VARENNE ST HILAIRE;7022Z;75;75111;75
11/12;26031001;Diplôme de l'école ESSEC;2;DIV-2;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;67;Association pour la Formation par l'Apprentissage CCIV - ESSEC;99;CFA ESSEC;1;24;2;175;0951929F;Convention L6231-3;ESSEC;Avenue Bernard Hirsch;;;95500;95000;PONTOISE;1;22;;F;Féminin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;107;APPRENTISSAGE BAC+4 (STATUT APPRENTISSAGE);95;95127;95000;CERGY-PONTOISE;6120Z;92;92062;0951929F
11/12;13512839;Droit, économie, gestion : droit de la santé spé droit des industries des produits de santé (MASTER Paris 5);1;MASTER PRO;128;Droit, sciences politiques;Sciences humaines et droit;208;LEEM Apprentissage;362;CFA LEEM apprentissage;8;12;1;1999;0751721N;UFA (L6232-8);Université Paris V - René-Descartes;12 rue de l'Ecole de Médecine;;;75106;75006;PARIS;8;24;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;92;92064;92210;SAINT-CLOUD;2120Z;92;92026;14
11/12;32032002;Communication (BTS);3;BTS;320;Spécialités plurivalentes de la communication;Communication;137;Association pour le Développement par les Entreprises de Sections d'Apprentissage;180;CFA des Sections d'Apprentissage Créées par les Entreprises Franciliennes;58;24;1;584;0753815P;Convention L6231-3;Lycée des Petits Champs;8 bis rue de Tunis;;;75111;75011;PARIS;58;21;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;51;TERMINALE GENERALE (en lycée);51;TERMINALE GENERALE (en lycée);94;94079;94350;VILLIERS-SUR-MARNE;6832A;75;75108;993
11/12;40321401;Travaux paysagers (BAC PRO AG);4;BAC PRO AG;214;Aménagement paysager (parcs, jardins, espaces verts, terrains de sport);Agriculture, espaces verts, élevage et soins des animaux;132;Association pour le Développement de l'Apprentissage Francilien Agricole;175;CFA des Métiers de l'Agriculture - ADAFA;69;36;3;2061;0920981S;Convention L6231-3;Lycée Professionnel Maison Saint-Philippe;1 rue du Père Brottier;;;92048;92190;MEUDON;69;19;N;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;49;1ERE GENERALE OU TECHNOLOGIQUE (en lycée);91;2EME ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);92;92050;92000;NANTERRE;8411Z;92;92073;0783606W
11/12;;Technicien supérieur en maintenance informatique et réseaux (TITRE PRO Niv 3 IPI);3;TH3-N;326;Informatique, traitement de l'information, réseaux de transmission des données;Informatique, réseaux;53;Institut de Gestion Sociale;61;CFA Institut de Gestion Sociale;68;24;1;102;0752944T;Local du CFA;CFA Bureautique Appliquée;12 rue Alexandre Parodi;;;75110;75010;PARIS;68;23;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);77;77449;77700;SERRIS;6203Z;78;78640;75
11/12;25022234;Industries chimiques et pharmaceutiques spé développement du médicament (LICENCE PRO);2;LICENCE PRO;222;Transformations chimiques et apparentées (y compris industrie pharmaceutique);Chimie (parfum, cosmétique, pétrole, traitement de l'eau...);208;LEEM Apprentissage;362;CFA LEEM apprentissage;6;12;1;2103;0941288P;UFA (L6232-8);IUT de Créteil;61 avenue du Général de Gaulle;;;94028;94010;CRETEIL;6;21;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;65;2EME ANNEE IUT;65;2EME ANNEE IUT;94;94054;94310;ORLY;7211Z;91;91692;94
11/12;40031202;Commerce (BAC PRO);4;BAC PRO;312;Commerce, vente;Commerce, vente;93;Association de Formation de la Grande Distribution;131;CFA Commerce Distribution  Services - CODIS;26;36;3;2042;0754471C;Local du CFA;CFA CODIS;3 rue Pierre Dupont;;;75110;75010;PARIS;26;20;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;101;APPRENTISSAGE BAC+1 (AUTRE QUE BTS OU DUT) (STATUT APPRENTISSAGE);103;APPRENTISSAGE BAC+2 (AUTRE QUE BTS OU DUT) (STATUT APPRENTISSAGE);24;24587;24200;VITRAC;4764Z;77;77468;75
11/12;50022129;Agent polyvalent de restauration (CAP);5;CAP;221;Agro-alimentaire, alimentation, cuisine;Agro-alimentaire, alimentation, cuisine;98;Centre Européen de Formation par Alternance et d'Apprentissage de l'industrie hôtelière et du tourisme;137;CFA CEFAA;19;24;1;274;0932217E;Local du CFA;CFA CEFAA;Avenue Jean Fourgeaud;;;93078;93420;VILLEPINTE;19;17;;M;Masculin;D;Demi-pensionnaire;2;Communauté Européenne;54;Employé administratif d'entreprise;A;Contrat d'apprentissage;25;3EME D'INSERTION;73;1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);93;93073;93290;TREMBLAY-EN-FRANCE;5629A;93;93066;93
11/12;26031001;Diplôme de l'école ESSEC;2;DIV-2;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;67;Association pour la Formation par l'Apprentissage CCIV - ESSEC;99;CFA ESSEC;1;24;2;175;0951929F;Convention L6231-3;ESSEC;Avenue Bernard Hirsch;;;95500;95000;PONTOISE;1;25;;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;107;APPRENTISSAGE BAC+4 (STATUT APPRENTISSAGE);54;54546;54121;VANDIERES;6419Z;75;75109;0951929F
11/12;32031209;Management des unités commerciales (BTS);3;BTS;312;Commerce, vente;Commerce, vente;59;Association pour la Formation dans la Distribution et l'Industrie des Produits de l'Electronique Grand Public;82;CFA Eugène-Ducretet;11;24;1;132;0922274X;Local du CFA;CFA Eugène Ducretet;84 rue Villeneuve - Immeuble Le Capella;;;92024;92587;CLICHY;11;20;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;111;EMPLOI (Y COMPRIS CES);111;EMPLOI (Y COMPRIS CES);77;77083;77420;CHAMPS-SUR-MARNE;4754Z;75;75113;92
11/12;32031405;Assistant de gestion de PME-PMI (BTS);3;BTS;314;Comptabilité, gestion;Comptabilité, gestion;53;Institut de Gestion Sociale;61;CFA Institut de Gestion Sociale;15;24;1;103;0754738T;Annexe du CFA;CFA Bureautique Appliquée;7 rue Pierre Dupont;;;75110;75010;PARIS;15;21;N;F;Féminin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);95;95252;95130;FRANCONVILLE;4652Z;75;75117;75
11/12;50031216;Employé de vente spécialisé option B : produits d'équipement courant (CAP);5;CAP;312;Commerce, vente;Commerce, vente;99;Association de Formation Interprofessionnelle de Poissy et Environs;138;CFA Vente et Commerce - AFIPE;12;24;2;275;0782092A;Local du CFA;CFA Vente et Commerce;7 bis enclos de l'Abbaye;;;78498;78300;POISSY;12;17;;F;Féminin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;23;3EME GENERALE (en collège);73;1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);78;78005;78260;ACHERES;4771Z;78;78358;78
11/12;45321401;Travaux paysagers (BPA);4;BPA;214;Aménagement paysager (parcs, jardins, espaces verts, terrains de sport);Agriculture, espaces verts, élevage et soins des animaux;132;Association pour le Développement de l'Apprentissage Francilien Agricole;175;CFA des Métiers de l'Agriculture - ADAFA;31;24;1;297;0931654T;Convention L6231-3;Lycée du Paysage et de l'Environnement Fénelon;1 rue de Montauban;;;93074;93410;VAUJOURS;31;18;N;M;Masculin;I;Interne;1;France;22;Commercant et assimilé;A;Contrat d'apprentissage;37;SECONDE PROFESSIONNELLE (1ERE A DE BEP) OU 1ERE A CAP EN 2 ANS (en lycée);75;2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);77;77077;77077;CHAMBRY;8130Z;77;77437;0783606W
11/12;;Expert en informatique et systèmes d'information (EPSI);1;TH1-X;326;Informatique, traitement de l'information, réseaux de transmission des données;Informatique, réseaux;83;Association des Comptables - Métiers et Professions;118;CFA de la comptabilité - ACMP;20;36;2;2455;0922467G;UFA (L6232-8);EPSI;70 rue Marius Aufan;;;92044;92300;LEVALLOIS PERRET;20;22;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;51;TERMINALE GENERALE (en lycée);51;TERMINALE GENERALE (en lycée);33;33063;33000;BORDEAUX;5829C;75;75109;75
11/12;26031001;Diplôme de l'école ESSEC;2;DIV-2;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;67;Association pour la Formation par l'Apprentissage CCIV - ESSEC;99;CFA ESSEC;1;24;1;175;0951929F;Convention L6231-3;ESSEC;Avenue Bernard Hirsch;;;95500;95000;PONTOISE;1;23;;F;Féminin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;67;67355;67970;OERMINGEN;6920Z;67;67447;993
11/12;26031001;Diplôme de l'école ESSEC;2;DIV-2;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;67;Association pour la Formation par l'Apprentissage CCIV - ESSEC;99;CFA ESSEC;1;24;1;175;0951929F;Convention L6231-3;ESSEC;Avenue Bernard Hirsch;;;95500;95000;PONTOISE;1;23;;F;Féminin;D;Demi-pensionnaire;3;Autre;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;95;95127;95000;CERGY-PONTOISE;6202A;92;92009;993
11/12;56033103;Auxiliaire de puériculture (DIPLOME ETAT Niveau V);5;DIV-5;331;Santé;Santé, sanitaire et social;120;Association pour la Formation par l'Apprentissage des Personnels de l'Hôspitalisation Privée d'Ile de France;159;CFA des métiers de la santé et de la solidarité;49;18;1;1357;0755268U;UFA (L6232-8);ABC Puériculture;91 rue du Faubourg Saint-Martin;;;75110;75010;PARIS;49;25;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;111;EMPLOI (Y COMPRIS CES);999;INCONNUE;29;29243;29150;ST COULITZ;8891A;75;75103;75
11/12;50022131;Cuisine (CAP);5;CAP;221;Agro-alimentaire, alimentation, cuisine;Agro-alimentaire, alimentation, cuisine;98;Centre Européen de Formation par Alternance et d'Apprentissage de l'industrie hôtelière et du tourisme;137;CFA CEFAA;8;24;2;274;0932217E;Local du CFA;CFA CEFAA;Avenue Jean Fourgeaud;;;93078;93420;VILLEPINTE;8;24;;F;Féminin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;113;CHOMAGE;113;CHOMAGE;75;75116;75016;PARIS;5610A;75;75117;993
11/12;32031209;Management des unités commerciales (BTS);3;BTS;312;Commerce, vente;Commerce, vente;93;Association de Formation de la Grande Distribution;131;CFA Commerce Distribution  Services - CODIS;24;24;2;2042;0754471C;Local du CFA;CFA CODIS;3 rue Pierre Dupont;;;75110;75010;PARIS;24;25;N;F;Féminin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;93;1ERE ANNEE BTS (STATUT APPRENTISSAGE);95;2EME ANNEE BTS (STATUT APPRENTISSAGE);92;92024;92110;CLICHY;5610C;89;89024;75
11/12;32031209;Management des unités commerciales (BTS);3;BTS;312;Commerce, vente;Commerce, vente;93;Association de Formation de la Grande Distribution;131;CFA Commerce Distribution  Services - CODIS;24;24;2;2042;0754471C;Local du CFA;CFA CODIS;3 rue Pierre Dupont;;;75110;75010;PARIS;24;23;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;53;TERMINALE TECHNOLOGIQUE (en lycée);93;1ERE ANNEE BTS (STATUT APPRENTISSAGE);95;95091;95570;BOUFFEMONT;6110Z;75;75115;75
11/12;25032625;Systèmes informatiques et logiciels spé administrateur de parc informatique (LP Paris 11);2;LICENCE PRO;326;Informatique, traitement de l'information, réseaux de transmission des données;Informatique, réseaux;17;Association Union Université Economie;18;CFA Union des Universités;33;12;1;567;0912231F;Convention L6231-3;Faculté des Sciences d'Orsay;15 rue Georges Clémenceau;;;91471;91400;ORSAY;33;24;N;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;69;AUTRE SCOLARITE SUPERIEURE;69;AUTRE SCOLARITE SUPERIEURE;99;99999;91440;;6311Z;99;99999;91
11/12;55321401;Travaux d'aménagements paysagers, spécialité travaux de création et d'entretien (BPA 5);5;BPA5;214;Aménagement paysager (parcs, jardins, espaces verts, terrains de sport);Agriculture, espaces verts, élevage et soins des animaux;132;Association pour le Développement de l'Apprentissage Francilien Agricole;175;CFA des Métiers de l'Agriculture - ADAFA;87;24;2;1510;0752426E;Convention L6231-3;Lycée du Breuil;Route de la Ferme;;;75108;75012;PARIS;87;18;N;M;Masculin;D;Demi-pensionnaire;1;France;52;Employé civil - agent service fonction publique;A;Contrat d'apprentissage;57;AUTRE CLASSE DU SECOND DEGRE (en lycée);73;1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);92;92002;92160;ANTONY;8130Z;92;92002;0783606W
11/12;26031202;Praticien du commerce international (ESPCI - ESSEC) (diplôme);2;DIV-2;312;Commerce, vente;Commerce, vente;67;Association pour la Formation par l'Apprentissage CCIV - ESSEC;99;CFA ESSEC;4;24;1;175;0951929F;Convention L6231-3;ESSEC;Avenue Bernard Hirsch;;;95500;95000;PONTOISE;4;21;;F;Féminin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;67;1ER CYCLE UNIVERSITAIRE (DEUG...);67;1ER CYCLE UNIVERSITAIRE (DEUG...);94;94033;94120;FONTENAY-SOUS-BOIS;6110Z;94;94003;95
11/12;25025513;Sciences et technologies mention réseaux et télécommunication, spécialité systèmes audiovisuels numériques (LICENCE PRO);2;LICENCE PRO;255;Electricité, électronique (non compris automatismes, productique);Électricité, électronique;174;Association pour la formation en alternance dans les secteurs du spectacle vivant, de l'audiovisuel et du multimédia;288;CFA du Spectacle Vivant et de l'Audiovisuel;7;12;1;2072;0941876D;Convention L6231-3;Institut National de l'Audiovisuel;4 avenue de l'Europe;;;94015;94360;BRY-SUR-MARNE;7;20;N;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;61;2EME ANNEE BTS (en lycée);61;2EME ANNEE BTS (en lycée);94;94081;94400;VITRY-SUR-SEINE;4651Z;75;75114;94
11/12;32031209;Management des unités commerciales (BTS);3;BTS;312;Commerce, vente;Commerce, vente;93;Association de Formation de la Grande Distribution;131;CFA Commerce Distribution  Services - CODIS;24;24;2;2042;0754471C;Local du CFA;CFA CODIS;3 rue Pierre Dupont;;;75110;75010;PARIS;24;23;N;M;Masculin;X;Interne/Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;111;EMPLOI (Y COMPRIS CES);93;1ERE ANNEE BTS (STATUT APPRENTISSAGE);92;92078;92390;VILLENEUVE-LA-GARENNE;7010Z;92;92024;75
